                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3165,                 8.6775,                0.67985,                 2.6924,                 1.5323,                0.54455,                 0.5509,                0.49115,                  0.307,                0.00646,                0.01078,                0.00114,                0.00011,                 1.2371,                 7.6505,                0.39811,                 2.0749,                 1.6529,             0.00033062,             0.00033062,             0.00033062
                      2,                 1.3756,                 7.5347,                0.64298,                 2.1337,                 1.5512,                 0.4201,                0.57045,                0.49067,                0.27983,                0.00533,                0.00855,                0.00031,                  3e-05,                  1.413,                 7.4763,                0.34903,                 2.1023,                 1.8164,             0.00065738,             0.00065738,             0.00065738
                      3,                 1.4594,                   7.26,                0.62205,                 2.0454,                 1.5998,                0.37051,                0.68786,                0.50268,                0.27868,                0.18457,                0.02382,                0.00295,                0.00033,                 1.5685,                 6.9465,                0.36864,                 1.8821,                 1.9537,             0.00097754,             0.00097754,             0.00097754
                      4,                 1.4668,                 7.0816,                 0.5984,                 1.9072,                 1.6069,                0.50439,                0.43069,                0.43052,                0.22751,                0.20218,                0.03216,                0.00699,                0.00091,                  1.634,                 6.9358,                0.37259,                 2.0526,                 2.0524,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.4722,                 6.9888,                0.58728,                 1.8737,                 1.5991,                0.60704,                0.47931,                0.50957,                0.28191,                0.23484,                0.05411,                 0.0196,                0.00226,                 1.4513,                 6.8491,                0.34742,                 1.6385,                 1.7989,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.4553,                 6.8819,                0.57354,                 1.8122,                 1.5938,                0.57084,                0.49088,                0.50464,                0.27923,                0.20343,                0.06281,                0.01131,                0.00142,                 1.4774,                 6.8675,                0.30839,                 1.7466,                 1.8705,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.4379,                  6.737,                 0.5532,                 1.7929,                  1.579,                0.60432,                0.58828,                 0.5604,                0.33185,                0.20854,                0.05176,                0.01343,                0.00159,                 1.4125,                 6.7289,                 0.3282,                 1.5344,                 1.7492,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.4053,                 6.5346,                 0.5395,                 1.7287,                 1.5548,                0.53614,                0.60101,                0.58971,                0.35018,                0.24755,                0.08925,                0.03038,                0.00461,                 1.3572,                   6.58,                0.26466,                 1.4103,                 1.7359,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.4088,                 6.5776,                0.52077,                  1.722,                  1.543,                0.45839,                0.68237,                0.59318,                0.35816,                0.05752,                0.10799,                0.03317,                0.00509,                 1.3948,                  6.445,                 0.2929,                 1.5084,                 1.7603,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.3941,                 6.5268,                0.51167,                 1.6948,                 1.5536,                0.44315,                0.71315,                0.58456,                0.34765,                0.25397,                0.09086,                0.03039,                0.00383,                 1.4126,                 6.4889,                0.32246,                 1.4546,                  1.761,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.3817,                 6.4197,                0.49334,                 1.6408,                 1.5392,                 0.5041,                0.73093,                0.65671,                0.39475,                0.27169,                 0.1099,                0.04506,                 0.0064,                 1.3541,                 6.3827,                0.22953,                 1.3186,                 1.7239,               0.000901,               0.000901,               0.000901
                     12,                 1.3801,                 6.3964,                0.47339,                  1.606,                 1.5344,                0.49718,                0.70196,                 0.6231,                0.36956,                0.10699,                0.12392,                0.05123,                0.00711,                 1.3562,                 6.2842,                0.24325,                 1.2889,                 1.7101,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.3536,                 6.2611,                0.47483,                 1.5936,                 1.5211,                0.63192,                0.60783,                0.58493,                0.34169,                0.25469,                0.12822,                0.04254,                0.00573,                 1.3735,                 6.3301,                0.27502,                 1.4105,                 1.7658,              0.0008812,              0.0008812,              0.0008812
                     14,                  1.351,                 6.2104,                0.46763,                  1.548,                 1.5113,                 0.3949,                0.76153,                0.56725,                0.34016,                0.10815,                0.14093,                0.05622,                0.01014,                 1.3633,                 6.3012,                0.22395,                 1.4217,                 1.7118,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.3424,                 6.1773,                0.46309,                 1.5596,                 1.5224,                 0.5351,                 0.6602,                0.64243,                0.39318,                0.27148,                0.09354,                0.04151,                0.00701,                 1.3169,                 6.3295,                0.21824,                 1.3383,                 1.6834,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.3106,                  6.132,                0.45671,                 1.4974,                  1.486,                0.55853,                0.59523,                0.64946,                0.41874,                 0.1681,                0.13752,                0.08122,                0.01188,                 1.2682,                 6.0825,                0.23007,                 1.2509,                 1.6391,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.2879,                 6.1214,                0.45815,                 1.4631,                 1.4686,                0.48422,                0.74472,                0.66437,                0.43047,                0.12923,                0.17013,                0.08264,                0.01395,                 1.2643,                 6.0611,                0.21075,                 1.3057,                 1.6335,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.3085,                 6.0739,                0.44577,                 1.4717,                 1.4865,                0.65982,                0.64573,                0.68352,                0.42066,                0.32587,                0.17492,                0.09246,                0.01632,                 1.3262,                 6.0749,                0.21878,                 1.2727,                 1.6686,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.3113,                 6.0139,                0.45036,                 1.4636,                 1.4901,                0.68883,                0.67553,                0.70099,                0.44499,                0.20251,                0.20812,                0.11992,                0.02012,                 1.2911,                 6.0223,                0.23687,                 1.2022,                  1.638,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.2948,                 5.9304,                0.44133,                 1.4363,                 1.4637,                0.59605,                0.74429,                0.72498,                0.44494,                0.22209,                0.21261,                0.12215,                0.02212,                 1.3462,                 5.8872,                0.21266,                 1.1614,                 1.6727,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.2984,                 5.9543,                0.43345,                 1.3969,                 1.4833,                0.60967,                0.73279,                0.70275,                0.44917,                0.15396,                0.20775,                0.07708,                0.01203,                  1.295,                 5.9754,                0.20185,                 1.1469,                 1.6528,               0.000802,               0.000802,               0.000802
                     22,                 1.2947,                 5.9809,                0.44109,                   1.43,                 1.4744,                0.50985,                0.68744,                0.60065,                0.37491,                0.12645,                0.14976,                0.06519,                0.01079,                 1.3567,                 6.1486,                0.21966,                  1.334,                 1.7043,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.2814,                 5.8878,                0.43531,                 1.4022,                 1.4655,                0.63937,                0.76113,                0.74844,                0.48277,                0.15042,                0.16532,                0.08999,                0.01313,                 1.2312,                 5.9278,                0.20009,                 1.1052,                 1.5991,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.2565,                 5.8866,                0.43758,                 1.3582,                 1.4496,                0.70973,                0.67192,                0.74854,                0.48219,                0.17721,                0.19687,                 0.1016,                0.01767,                 1.2732,                 5.8527,                0.21469,                 1.1149,                 1.6327,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.2474,                 5.8163,                0.43417,                 1.3293,                 1.4338,                 0.5988,                0.72711,                0.70221,                0.44636,                0.22626,                0.22238,                0.12582,                0.02154,                 1.2603,                 5.9103,                0.18909,                 1.1653,                 1.6082,              0.0007624,              0.0007624,              0.0007624
                     26,                   1.25,                 5.8123,                0.42847,                 1.3447,                 1.4443,                0.59794,                0.61017,                 0.6293,                0.40303,                0.18416,                0.20717,                  0.102,                0.01785,                 1.2827,                 6.0834,                0.19124,                 1.3618,                 1.6135,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.2594,                 5.7548,                0.43707,                 1.3254,                 1.4475,                0.54933,                0.75525,                0.68667,                0.44121,                  0.211,                0.19409,                0.10502,                0.01821,                 1.2609,                 5.9075,                0.19644,                 1.1269,                 1.6033,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.2397,                 5.7785,                0.43068,                   1.31,                 1.4272,                0.60739,                0.72144,                0.66833,                0.42453,                0.19951,                0.26049,                0.12972,                0.02165,                 1.2525,                 5.8589,                0.19199,                 1.2123,                 1.6051,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.2397,                  5.641,                 0.4281,                 1.3156,                 1.4332,                  0.686,                0.70918,                  0.737,                0.43609,                0.23887,                0.25547,                0.12776,                0.02044,                  1.404,                 5.7648,                0.20782,                 1.2006,                 1.7279,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.2542,                 5.6224,                0.42482,                 1.2976,                 1.4319,                0.70844,                0.75065,                0.77417,                0.50089,                0.25502,                0.26377,                0.13514,                0.02117,                 1.2303,                 5.7351,                0.20028,                 1.0558,                 1.5842,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.2273,                 5.7026,                0.41844,                 1.2743,                 1.4225,                0.62893,                0.66392,                0.66439,                0.42258,                0.23541,                0.24374,                0.12315,                0.02381,                 1.2788,                 5.8277,                0.20788,                 1.2045,                 1.5985,               0.000703,               0.000703,               0.000703
                     32,                 1.2067,                 5.5945,                0.42497,                 1.2552,                  1.407,                0.74871,                0.63501,                0.68612,                0.42597,                0.40641,                   0.25,                0.14299,                0.02744,                 1.2665,                 5.9556,                0.20909,                 1.2832,                 1.6286,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.2253,                 5.5159,                0.42189,                 1.2413,                 1.4274,                0.63944,                0.66239,                0.65592,                0.41839,                0.21186,                0.24708,                0.11741,                0.01989,                 1.2577,                 5.9578,                0.20552,                 1.2737,                 1.5935,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.2263,                 5.4851,                0.41694,                 1.2708,                 1.4311,                0.60345,                0.72784,                0.68321,                0.43245,                0.19587,                0.25618,                0.11858,                0.02213,                 1.2843,                 5.9137,                 0.1935,                 1.2098,                 1.6259,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.2162,                  5.469,                0.41724,                 1.2382,                 1.4096,                0.72225,                0.74297,                0.75235,                0.50274,                0.24029,                0.30553,                0.15491,                0.03299,                 1.2029,                  5.656,                0.18838,                 1.0205,                 1.5765,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.2123,                 5.4242,                0.41234,                 1.2385,                 1.4154,                0.64903,                0.70254,                 0.7124,                 0.4733,                0.24946,                0.29243,                0.17206,                0.03199,                 1.1855,                 5.8271,                0.19953,                 1.1121,                 1.5469,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.2008,                 5.3767,                0.41366,                 1.1967,                 1.4051,                0.55581,                0.75191,                0.70483,                0.47063,                0.21649,                  0.248,                0.14391,                0.02856,                 1.2198,                 5.6694,                0.19126,                 1.1727,                 1.5711,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.1874,                 5.4538,                0.41077,                 1.2133,                 1.3898,                0.63835,                0.74764,                0.73847,                0.48455,                0.24604,                0.26606,                0.13863,                 0.0306,                 1.2296,                 5.7449,                0.19254,                 1.0763,                 1.5682,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.1967,                 5.4512,                0.41432,                 1.2235,                 1.4013,                0.63873,                0.71743,                0.67076,                0.43189,                  0.352,                0.32074,                0.19008,                0.03474,                  1.248,                 5.7477,                 0.1796,                 1.1839,                 1.5802,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.1904,                 5.4297,                0.41435,                 1.2079,                 1.3905,                0.68239,                0.72375,                0.74237,                0.47559,                 0.2422,                 0.3015,                0.17483,                0.03263,                 1.2518,                 5.7943,                0.18221,                 1.0997,                 1.5876,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.1796,                 5.3803,                0.41993,                 1.2012,                 1.3942,                0.67505,                0.61935,                0.70829,                0.45691,                0.30411,                0.28416,                0.16879,                0.03188,                 1.2378,                 5.6928,                0.18271,                 1.1201,                 1.5882,               0.000604,               0.000604,               0.000604
                     42,                 1.1943,                 5.3163,                0.41451,                 1.1807,                 1.3926,                 0.6538,                0.72567,                0.74232,                0.48825,                0.24921,                0.30685,                0.17887,                0.03527,                 1.2292,                 5.5708,                0.18618,                 1.0751,                 1.5643,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.1649,                 5.2766,                0.40751,                 1.1535,                 1.3688,                0.65227,                0.70376,                0.71679,                0.45379,                0.28467,                0.28444,                0.17629,                0.03508,                 1.2643,                 5.7106,                0.19378,                 1.1372,                  1.603,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.1627,                 5.2883,                0.40288,                 1.1584,                 1.3741,                0.70704,                0.70653,                0.74582,                0.47244,                0.28263,                0.30328,                 0.1699,                0.03335,                 1.2629,                 5.6742,                0.19414,                 1.0222,                 1.6135,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.1829,                 5.1618,                0.39855,                 1.1638,                 1.3833,                0.63766,                0.74467,                0.70919,                0.45393,                 0.2898,                0.30711,                0.16906,                0.03068,                  1.261,                 5.7123,                0.18334,                  1.168,                  1.601,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.1642,                 5.2797,                0.40597,                 1.1454,                 1.3779,                0.65147,                0.73893,                0.73261,                0.47044,                   0.29,                0.29543,                0.17861,                0.03094,                 1.2373,                  5.684,                0.18916,                 1.1294,                 1.5701,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.1879,                 5.2417,                0.41258,                 1.1705,                 1.3882,                0.65034,                0.79075,                0.76094,                0.50398,                 0.2569,                0.35027,                0.16069,                0.03226,                  1.225,                 5.6149,                0.20782,                 1.0409,                 1.5551,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.1506,                 5.1645,                0.40958,                 1.1132,                 1.3757,                0.69349,                0.75061,                0.74724,                0.48822,                0.29233,                0.33536,                0.17731,                0.03358,                 1.2077,                  5.639,                0.19353,                 1.0301,                  1.561,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.1512,                  5.146,                0.40633,                 1.1297,                 1.3596,                0.66926,                0.75335,                0.71539,                0.46837,                0.29038,                0.36299,                0.19241,                0.03723,                 1.2108,                 5.7046,                0.20614,                 1.1449,                 1.5547,              0.0005248,              0.0005248,              0.0005248
